태블릿/모바일,제조사,모델명,세대,디스플레이,출시일,옆테이블 join용 기준,,,모델명,통신,용량,정가,keyword
태블릿,애플,아이패드,1세대,9.7,2010.5,애플 아이패드 1세대 9.7,,,아이패드 프로 1세대 12.9,WIFI,128GB,1200000,애플 아이패드 프로 1세대 12.9 WIFI 128GB
태블릿,애플,아이패드,2세대,9.7,2011.4,애플 아이패드 2세대 9.7,,,아이패드 프로 1세대 12.9,WIFI,256GB,1400000,애플 아이패드 프로 1세대 12.9 WIFI 256GB
태블릿,애플,아이패드,3세대,9.7,2012.3,애플 아이패드 3세대 9.7,,,아이패드 프로 1세대 12.9,셀룰러,128GB,1350000,애플 아이패드 프로 1세대 12.9 셀룰러 128GB
태블릿,애플,아이패드,4세대,9.7,2012.11,애플 아이패드 4세대 9.7,,,아이패드 프로 1세대 12.9,셀룰러,256GB,1550000,애플 아이패드 프로 1세대 12.9 셀룰러 256GB
태블릿,애플,아이패드,5세대,9.7,2017.3,애플 아이패드 5세대 9.7,,,아이패드 프로 9.7,WIFI,32GB,760000,애플 아이패드 프로 9.7 WIFI 32GB
태블릿,애플,아이패드,6세대,9.7,2018.5,애플 아이패드 6세대 9.7,,,아이패드 프로 9.7,WIFI,128GB,960000,애플 아이패드 프로 9.7 WIFI 128GB
태블릿,애플,아이패드,7세대,10.2,2019.9,애플 아이패드 7세대 10.2,,,아이패드 프로 9.7,WIFI,256GB,1160000,애플 아이패드 프로 9.7 WIFI 256GB
태블릿,애플,아이패드 에어,1세대,9.7,2013.11,애플 아이패드 에어 1세대 9.7,,,아이패드 프로 9.7,셀룰러,32GB,910000,애플 아이패드 프로 9.7 셀룰러 32GB
태블릿,애플,아이패드 에어,2세대,9.7,2014.1,애플 아이패드 에어 2세대 9.7,,,아이패드 프로 9.7,셀룰러,128GB,1110000,애플 아이패드 프로 9.7 셀룰러 128GB
태블릿,애플,아이패드 에어,3세대,10.5,2019.3,애플 아이패드 에어 3세대 10.5,,,아이패드 프로 9.7,셀룰러,256GB,1310000,애플 아이패드 프로 9.7 셀룰러 256GB
태블릿,애플,아이패드 미니,1세대,7.9,2012.11,애플 아이패드 미니 1세대 7.9,,,아이패드 프로 2세대 12.9,WIFI,64GB,999000,애플 아이패드 프로 2세대 12.9 WIFI 64GB
태블릿,애플,아이패드 미니,2세대,7.9,2013.11,애플 아이패드 미니 2세대 7.9,,,아이패드 프로 2세대 12.9,WIFI,256GB,1199000,애플 아이패드 프로 2세대 12.9 WIFI 256GB
태블릿,애플,아이패드 미니,3세대,7.9,2014.1,애플 아이패드 미니 3세대 7.9,,,아이패드 프로 2세대 12.9,WIFI,512GB,1469000,애플 아이패드 프로 2세대 12.9 WIFI 512GB
태블릿,애플,아이패드 미니,4세대,7.9,2015.9,애플 아이패드 미니 4세대 7.9,,,아이패드 프로 2세대 12.9,셀룰러,64GB,1170000,애플 아이패드 프로 2세대 12.9 셀룰러 64GB
태블릿,애플,아이패드 미니,5세대,7.9,2019.3,애플 아이패드 미니 5세대 7.9,,,아이패드 프로 2세대 12.9,셀룰러,256GB,1369000,애플 아이패드 프로 2세대 12.9 셀룰러 256GB
태블릿,애플,아이패드 프로,1세대,12.9,2015.11,애플 아이패드 프로 1세대 12.9,,,아이패드 프로 2세대 12.9,셀룰러,512GB,1639000,애플 아이패드 프로 2세대 12.9 셀룰러 512GB
태블릿,애플,아이패드 프로,,9.7,2016.3,애플 아이패드 프로  9.7,,,아이패드 프로 10.5,WIFI,64GB,799000,애플 아이패드 프로 10.5 WIFI 64GB
태블릿,애플,아이패드 프로,2세대,12.9,2017.6,애플 아이패드 프로 2세대 12.9,,,아이패드 프로 10.5,WIFI,256GB,999000,애플 아이패드 프로 10.5 WIFI 256GB
태블릿,애플,아이패드 프로,,10.5,2017.6,애플 아이패드 프로  10.5,,,아이패드 프로 10.5,WIFI,512GB,1269000,애플 아이패드 프로 10.5 WIFI 512GB
태블릿,애플,아이패드 프로,,11,2018.12,애플 아이패드 프로  11,,,아이패드 프로 10.5,셀룰러,64GB,969000,애플 아이패드 프로 10.5 셀룰러 64GB
태블릿,애플,아이패드 프로,3세대,12.9,2018.12,애플 아이패드 프로 3세대 12.9,,,아이패드 프로 10.5,셀룰러,256GB,1169000,애플 아이패드 프로 10.5 셀룰러 256GB
